City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
293,Dogondoutchi,NE,2020-02-21 04:22:49,13.64,4.03,68.67,17,0,10.2
294,Lasa,IT,2020-02-21 04:22:50,46.62,10.7,32.0,73,5,6.93
295,San Carlos De Bariloche,AR,2020-02-21 04:20:50,-41.15,-71.31,55.4,17,0,12.75
296,Khvorostyanka,RU,2020-02-21 04:21:04,52.61,48.96,25.47,94,100,4.0
297,Talnakh,RU,2020-02-21 04:22:51,69.49,88.4,14.0,85,95,6.71
298,Zhangjiakou,CN,2020-02-21 04:22:52,40.81,114.88,23.67,40,69,16.6
299,Husavik,IS,2020-02-21 04:22:52,66.04,-17.34,32.0,97,90,6.93
300,Collie,AU,2020-02-21 04:22:53,-33.37,116.15,93.0,14,100,6.04
301,Sao Joao Da Ponte,BR,2020-02-21 04:22:53,-15.93,-44.01,67.8,88,88,0.58
302,Chuy,UY,2020-02-21 04:22:54,-33.7,-53.46,59.13,63,0,10.36
